stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
51,21-S11-E,2100 SOUTH & 1100 EAST,E 2100 S,40.725404,-111.859661,,,0,
870,135009,CONSTITUTION BLVD @ 3700 S,S CONSTITUTION BLVD,40.691967,-111.958133,,,0,
887,135026,CONSTITUTION BLVD @ 3601 S,S CONSTITUTION BLVD,40.69391,-111.957789,,,0,
1022,118161,NORTH MEDICAL DR @ 50 N,UNNAMED ST,40.772535,-111.837594,,,0,
1024,117229,REDWOOD RD @ 701 N,N REDWOOD RD,40.784947,-111.939549,,,0,
1029,812002,STATE ST @ 101 S,S STATE ST,40.295471,-111.694104,,,0,
1038,812011,STATE ST @ 830 N,N STATE ST,40.313278,-111.701888,,,0,
1040,812013,STATE ST @ 1090 N,N STATE ST,40.317158,-111.703591,,,0,
1041,812014,STATE ST @ 1220 N,N STATE ST,40.319878,-111.704794,,,0,
1045,812018,STATE ST @ 1960 N,N STATE ST,40.332719,-111.712453,,,0,
1054,812027,STATE ST @ 1975 N,N STATE ST,40.333298,-111.713371,,,0,
1059,812032,STATE ST @ 1185 N,N STATE ST,40.319009,-111.704795,,,0,
1066,812039,STATE ST @ 497 N,N STATE ST,40.305817,-111.698999,,,0,
1067,812040,STATE ST @ 381 N,N STATE ST,40.303699,-111.698101,,,0,
1071,812044,STATE ST @ 20 S,S STATE ST,40.296691,-111.695037,,,0,
1253,125371,900 W @ 1289 S,S 900 W,40.741828,-111.916738,,,0,
